accent	n	'æksənt	trọng âm
accentor	n	æk'sentə	chim chích
accentual	a	æk'sentjuəl	trọng âm, dựa vào trọng âm
accentuate	v	æk'sentjueit	nhấn trọng âm, đặt trọng âm
accentuation	n	æk'sentju'eiʃn	sự nhấn trọng âm, sự đặt trọng âm
accept	v	ək'sept	nhận, chấp nhận
acceptability	n	ək,septə'biliti	tính chất có thể chấp nhận
acceptable	a	ək'septəbl	có thể nhận, có thể chấp nhận
acceptance	n	ək'septəbl	sự nhận, sự chấp nhận
acceptation	n	,æksep'teiʃn	ý nghĩa đặc biệt
accepted	a	ək'septid	đã được thừa nhận, đã được công nhận
accepting	n		nhận tin
acceptor	n	ək'septə	người nhận thanh toán
access	n	'ækses	lối vào, cửa vào
accessary	n	æk'sesəri/ (accessary) /æk'sesəri	đồ phụ tùng, vật phụ thuộc
accessibility	n	æk,sesi'biliti	tính có thể tới được, tính có thể đến gầ
accessible	a	æk'sesəbl	có thể tới được, có thể gần được
accession	n	æk'seʃn	sự đến gần, sự tiếp kiến
accessories	n		phụ tùng, bộ phụ
accessory	n	æk'sesəri/ (accessary) /æk'sesəri	đồ phụ tùng, vật phụ thuộc
accidence	n	'æksidəns	hình thái học
accident	n	'æksidənt	sự rủi ro, tai nạn
accidental	a	,æksi'dentl	tình cờ, ngẫu nhiên
accidentally	d	,æksi'dentəli	tình cờ, ngẫu nhiên
accipitral	a	æk'sipitrəl	chim ưng, như chim ưng
acclaim	n	ə'kleim	tiếng hoan hô
acclamation	n	,æklə'meiʃn	sự hoan hô nhiệt liệt
acclamatory	a	ə'klæmətəri	hoan hô bằng cách nhiệt liệt hoan hô
acclimatation	n	ə'klaimətai'zeiʃn/ (acclimatation) /ə,klaimə'teiʃn/ (acclimation) /,æklai'meiʃn	sự thích nghi khí hậu, sự làm hợp thuỷ t
acclimate	v	ə'klaimətaiz/ (acclimatise) /ə'klaimətaiz/ (acclimate) /'æklaimeit	làm thích nghi khí hậu, làm hợp thuỷ thổ
acclimation	n	ə'klaimətai'zeiʃn/ (acclimatation) /ə,klaimə'teiʃn/ (acclimation) /,æklai'meiʃn	sự thích nghi khí hậu, sự làm hợp thuỷ t
acclimatise	v	ə'klaimətaiz/ (acclimatise) /ə'klaimətaiz/ (acclimate) /'æklaimeit	làm thích nghi khí hậu, làm hợp thuỷ thổ
acclimatization	n	ə'klaimətai'zeiʃn/ (acclimatation) /ə,klaimə'teiʃn/ (acclimation) /,æklai'meiʃn	sự thích nghi khí hậu, sự làm hợp thuỷ t
acclimatize	v	ə'klaimətaiz/ (acclimatise) /ə'klaimətaiz/ (acclimate) /'æklaimeit	làm thích nghi khí hậu, làm hợp thuỷ thổ
acclivity	n	ə'kliviti	dốc ngược
acclivous	a	ə'klaivəs	dốc ngược
accolade	n	'ækəleid	sự ôm hôn, sự gõ nhẹ sống gươm lên vai
accommodate	v	ə'kɔmədeit	điều tiết, làm cho thích nghi
accommodating	a	ə'kɔmədeitiɳ	dễ dãi, dễ tính
accommodation	n	ə,kɔmə'deiʃn	sự điều tiết, sự thích nghi
accompaniment	n	ə'kʌmpənimənt	vật phụ thuộc, vật kèm theo
accompanist	n	ə'kʌmpənist	người đệm
accompany	v	ə'kʌmpəni	đi theo, đi cùng
accomplice	n	ə'kɔmplis	kẻ tòng phạm, kẻ đồng loã
accomplish	v	ə'kɔmpliʃ	hoàn thành, làm xong
accomplished	a	ə'kɔmpiʃt	đã hoàn thành, đã làm xong
accomplishment	n	ə'kɔmpliʃmənt	sự hoàn thành, sự làm xong
accord	n	ə'kɔ:d	sự đồng lòng, sự đồng ý
accordance	n	ə'kɔ:dəns	sự đồng ý, sự thoả thuận
accordant	a	ə'kɔ:dənt	+ with) thích hợp, phù hợp
according	d	ə'kɔ:diɳ	theo, y theo
accordingly	d	ə'kɔ:diɳ	do đó, vì vậy
accordion	n	ə'kɔ:djən	đàn xếp, đàn ăccoc
accordionist	n	ə'kɔ:djənist	người chơi đàn xếp, người chơi đàn ăccoo
accost	v	ə'kɔst	đến gần
accouchement	n	ə'ku:ʃma:ɳ	sự đẻ
accoucheur	n	,æku:'ʃə:	người đỡ đẻ
accoucheuse	n	,æku:'ʃə:z	nữ hộ sinh, bà đỡ
account	n	ə'kaunt	sự tính toán
accountability	n	ə,kauntə'biliti	trách nhiệm, trách nhiệm phải giải thích
accountable	a	ə'kauntəbl	chịu trách nhiệm, có trách nhiệm phải gi
accountancy	n	ə'kauntənsi	nghề kế toán
accountant	n	ə'kauntənt	nhân viên kế toán, người giữ sổ sách kế
accountantship	n	ə'kauntəntʃip	chức kế toán
accounting	n	ə'kauntiɳ	sự thanh toán, sự tính toán
accoutre	v	ə'ku:tə	mặc cho, trang bị cho
accoutrement	n	ə'ku:təmənt	bộ áo quần đặc biệt, quần áo
accredit	v	ə'kredit	làm cho người ta tin
accredited	a	ə'kreditid	được chính thức công nhận, được mọi ngườ
accrescent	a	ə'kresənt	cùng phát triển, cùng lớn lên
accrete	v	ə'kri:t	cùng phát triển, cùng lớn lên thành một
accretion	n	æ'kri:ʃn	sự lớn dần lên, sự phát triển dần lên
accretive	a	æ'kri:tiv	lớn dần lên, phát triển dần lên
accrual	n	ə'kru:əl/ (accruement) /ə'kru:mənt	sự dồn lại, sự tích lại
accrue	v	ə'kru:	đổ dồn về
accruement	n	ə'kru:əl/ (accruement) /ə'kru:mənt	sự dồn lại, sự tích lại
accumulate	v	ə'kju:mjuleit	chất đống, chồng chất
accumulation	n	ə,kju:mju'leiʃ	sự chất đống, sự chồng chất
accumulative	a	ə'kju:mjulətiv	chất đống, chồng chất
accumulator	n	ə'kju:mjuleitə	người tích luỹ
accuracy	n	'ækjurəsi/ (accurateness) /'ækjuritnis	sự đúng đắn, sự chính xác
accurate	a	'ækjurit	đúng đắn, chính xác
accurately	d		đúng đắn, chính xác
accurateness	n	'ækjurəsi/ (accurateness) /'ækjuritnis	sự đúng đắn, sự chính xác
accursal	n	,ækju:'zeiʃn/ (accursal) /ə'kju:zəl	sự kết tội, sự buộc tội
accursed	a	ə'kə:sid/ (accurst) /ə'kə:st	đáng nguyền rủa, đáng ghét
accurst	a	ə'kə:sid/ (accurst) /ə'kə:st	đáng nguyền rủa, đáng ghét
accusation	n	,ækju:'zeiʃn/ (accursal) /ə'kju:zəl	sự kết tội, sự buộc tội
accusative	a	ə'kju:zətiv	đổi cách
accusatorial	a	ə,kju:zə'tɔ:riəl/ (accusatory) /ə'kju:zətəri	buộc tội, kết tội
accusatory	a	ə,kju:zə'tɔ:riəl/ (accusatory) /ə'kju:zətəri	buộc tội, kết tội
accuse	v	ə'kju:z	buộc tội, kết tội
accused	n		bị cáo
accuser	n	ə'kju:ze	uỷ viên công tố, người buộc tội
accustom	v	ə'kʌstəm	làm cho quen, tập cho quen
accustomed	a	ə'kʌstəmd	quen với, thành thói quen
ace	n	eis	quân át, quân xì
acephalous	a	ə'sefələs	không có đầu
acerbate	v	eks'æsə:beit/ (acerbate) /'æsəbeit	làm tăng, làm trầm trọng
acerbity	n	ə'sə:biti	vị chát, vị chua chát
acerose	a	'æsirous/ (acerous) /'æsirəs	hình kim
acerous	a	'æsirous/ (acerous) /'æsirəs	hình kim
acervate	a	ə'sə:veit	mọc thành chùm
acescent	a	ə'sesənt	hoá chua, chua
acetate	n	'æsitit	Axetat
acetic	a	ə'si:tik	axetic, giấm
acetification	n	ə,setifi'keiʃn	sự hoá giấm, sự làm thành giấm
acetify	v	ə'setifai	làm thành giấm
acetone	n	'æsitoun	axeton
acetous	a	'æsitəs	chua, có vị giấm
acetylene	n	ə'setili:n	Axetylen
ache	n	cik	sự đau, sự nhức
achene	n	ə'ki:ni	quả bế
achievable	a	ə'tʃi:vəbl	có thể đạt được, có thể thực hiện được
achieve	v	ə'tʃi:v	đạt được, giành được
achievement	n	ə'tʃi:vmənt	thành tích, thành tựu
achilles	n	ə'kili:z	A-sin
aching	n	'eikiɳ	sự đau đớn
achlamydeous	a	,æklə'midiəs	không bao hoa, có hoa trần
achromatic	a	,ækrou'mætik	tiêu sắc
achromatism	a	ə'kroumətizm	tính tiêu sắc
achromatize	v	ə'kroumətaiz	làm tiêu sắc
achromatous	a	ə'kroumətəs/ (achromous) /ə'krouməs	không màu, không sắc
achromous	v	ə'kroumətaiz	làm tiêu sắc
achy	a		bị đau nhức
acicular	a	ə'sikjulə	hình kim, kết tinh thành hình kim
acid	n	'æsid	Axit
acidic	a	'æsidik	có tính chất axit
acidification	n	'æsidifi'keiʃn	sự axit hoá
acidifier	n	ə'sidifaiə	chất axit hoá
acidify	v	ə'sidifai	Axit hoá
acidimeter	n	,æsi'dimitə	cái đo axit
acidity	n	ə'siditi	tính axit, độ axit
acidly	d	'æsidli	chua chát, gay gắt
acidose	n	'æsidous	sự nhiễm axit
acidulate	v	ə'sidjuleit	làm cho hơi chua
acidulated	a	ə'sidjuletid	hơi chua
acidulous	a	ə'sidjuləs	hơi chua
aciform	a	'æsifɔ:m	hình kim
acknowledge	v	ək'nɔlidʤ	nhận, thừa nhận
acknowledgement	n	ək'nɔlidʤmənt/ (acknowledgment) /ək'nɔliʤmənt	sự nhận, sự công nhận
acknowledgment	n	ək'nɔlidʤmənt/ (acknowledgment) /ək'nɔliʤmənt	sự nhận, sự công nhận
aclinic	a	ə'klinik	không nghiêng, vô khuynh
acme	n	'ækmi	tột đỉnh, đỉnh cao nhất
acne	n		mụn trứng cá
acock	d	ə'kɔk	đội lệch
acolyte	n	'ækəlait	thầy tu cấp dưới, thầy dòng
aconite	n	'ækənait	cây phụ tử
acorn	n	'eikɔ:n	quả đầu
acotyledon	n	æ,kɔti'li:dən	cây không lá mầm
acotyledonous	a	æ,kɔti'li:dənəs	không lá mầm
acoumeter	n	ə'ku:mitə	cái đo nghe
acoustic	a	ə'ku:mitə	âm thanh, âm học
acoustician	n	,æku:s'tiʃn	nhà âm học
acoustics	n	ə'ku:stiks	âm học
acquaint	v	ə'kweint	làm quen
acquaintance	n	ə'kweintəns	sự biết, sự hiểu biết
acquaintanceship	n	ə'kweintənʃip	sự quen biết
acquainted	a	ə'kweintid	+ with) quen biết, quen thuộc
acquest	n	æ'kwest	vật kiếm được, của cải làm ra
acquiesce	v	,ækwi'es	bằng lòng, ưng thuận
acquiescence	n	,ækwi'esns	sự bằng lòng, sự ưng thuận
acquiescent	a	,ækwwi'esnt	bằng lòng, ưng thuận
acquire	v	ə'kwaiə	được, giành được
acquirement	n	ə'kwaiəmənt	sự được, sự giành được
acquisition	n	,ækwi'ziʃn	sự được, sự giành được
acquisitive	a	ə'kwizitiv	thích trữ của, hám lợi
acquisitiveness	n	ə'kwizitivnis	tính thích trữ của, tính hám lợi
acquit	v	ə'kwit	trả hết, trang trải
acquittal	n	ə'kwitl	sự trả xong nợ, sự trang trải xong nợ nầ
acquittancce	n	ə'kwitəns	sự trả nợ, sự trang trải hết nợ nần
acre	n	acre	mẫu Anh
acreage	n	'eikəridʤ	diện tích
acrid	a	'ækrid	hăng, cay sè
acridity	n	æ'kriditi	vị hăng, mùi hăng
acrimonious	a	,ækri'mounjəs	chua cay, gay gắt
acrimony	n	'ækriməni	sự chua cay, sự gay gắt
acrobat	n	'ækrəbæt	người biểu diễn leo dây, người biểu diễn
acrobatic	a		tính chất nhào lộn, liên quan đến nhào l
acrobatically	d	,ækrə'bætikəli	tài tình, khéo léo
acrobatics	n	,ækrə'bætiks	thuật leo dây, thuật nhào lộn
acrobatism	n	'ækrəbætizm	thuật leo dây, thuật nhào lộn
acrocarpous	a	,ækrou'kɑ:pəs	có quả ở ngọn
acrogenous	a	ə'krɔdʤinəs	sinh ở ngọn
acromegaly	n	,ækrə'megəli	bệnh to cực
acronycal	a	ə'krɔnikəl/ (acronychal) /ə'krɔnikəl	xuất hiện vào lúc chập tối
acronychal	a	ə'krɔnikəl/ (acronychal) /ə'krɔnikəl	xuất hiện vào lúc chập tối
